#NAME	2WT-2m_S1	3WT-2m_S1	5WT-2m_S2	8WT-2m_S3	9WT-2m_S4	10WT-2m_S5	2AD-2m_S6	4AD-2m_S2	5AD-2m_S7	8AD-2m_S8	9AD-2m_S9	10AD-2m_S10	2WT-6m_S11	3WT-6m_S1	5WT-6m_S12	8WT-6m_S2	9WT-6m_S3	10WT-6m_S4	2AD-6m_S5	4AD-6m_S7	5AD-6m_S6	8AD-6m_S8	9AD-6m_S9	10AD-6m_S10	2WT-12m_S1	5WT-12m_S2	6WT-12m_S4	8WT-12m_S3	9WT-12m_S5	10WT-12m_S6	2AD-12m_S7	5AD-12m_S8	6AD-12m_S9	8AD-12m_S10	9AD-12m_S11	10AD-12m_S12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter_sp_1_3	0	4908	18046	5040	18710	27052	3306	0	864	0	4770	2556	71184	8530	1174	3380	9774	10716	0	0	148	1468	6376	0	2526	1286	17156	4864	12632	2492	154	0	8540	524	1642	740
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella_arabinosiphila	0	21810	522	21302	65956	7668	2036	0	3652	20276	0	7880	23104	0	20688	59630	107564	0	5042	0	948	1664	23710	0	25552	24050	96892	11192	43080	2982	163688	0	164354	139800	99104	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia_sp_1XD42_69	12228	233776	0	32968	0	8218	19674	2220	11454	7372	62	31336	817490	64	160326	11014	327358	36098	68202	0	14910	80166	0	172992	74260	215156	96074	98916	760842	30910	95112	0	22236	144850	7528	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_WCA_9_b2	9050	28546	4118	14654	1186	56868	0	0	0	0	14834	11522	20730	12860	306	22198	13690	13256	7088	0	6880	0	0	0	14398	0	11146	7262	8770	8016	4116	0	0	5962	0	104
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_MD335	0	72548	0	0	0	5872	36332	3802	626	0	3674	0	8580	55726	12954	0	20284	53580	0	30538	0	0	27498	3536	428	1900	46080	0	48894	22574	32772	0	8826	454058	0	21844
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_MD329	20434	1628	0	0	1108	3498	0	47034	0	30750	5822	0	0	1396	0	0	10884	0	0	1208	0	4450	56906	848	0	0	15514	0	1888	10508	74972	0	16156	30094	7912	7548
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_MD308	72620	238858	63658	219656	111892	158934	438852	349066	4636	279150	374714	287210	81434	92512	77534	22788	333750	49692	42536	35768	0	49102	11674	34326	9876	81236	362014	35314	176470	100050	51944	0	224136	48236	99808	14152
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_A4	863008	841980	12436164	31808	0	257528	598012	1743690	262346	923386	1950396	2710744	30230	157520	3447036	108692	0	153052	21484	1717958	472	4188	55930	24630	108820	467356	104794	33088	0	64186	17348	3508460	11702	3157560	1919906	21634
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_A2	6508	633610	1328468	158422	74092	410450	623104	117860	1314	0	5931918	5422510	252470	5628518	177038	24532	4701344	13340	540764	16294	188686	62730	116664	1026702	955560	25150	0	645974	36686	361442	0	3622	80	526696	2721294	90538
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnospiraceae_unclassified;s__Lachnospiraceae_bacterium_28_4	5360	110974	1060286	0	141936	82118	410	1796	0	0	66990	0	342032	23384	29954	2848	18970	103878	2840	14776	27832	16162	164	160028	13890	0	17656	486	197910	1050	129914	530840	0	387702	523450	0
